Date Added,Full Name,User Name,Photo,Website URL,Twitter Handle,Facebook Name,Instagram Name,LinkedIn Name,Goodreads URL,Wikipedia URL,About
2020-03-20,Bill Gates,billgates,,http://www.gatesnotes.com/,billgates,BillGates,thisisbillgates,williamhgates,https://www.goodreads.com/author/show/23470.Bill_Gates,https://en.wikipedia.org/wiki/Bill_Gates,"Bill Gates is an American business magnate, software developer, investor, and philanthropist. He is best known as the co-founder of Microsoft Corporation."
2020-03-20,David Cancel,dcancel,,http://davidcancel.com/,dcancel,,dcancel,dcancel,https://www.goodreads.com/author/show/16354776.David_Cancel,,"David Cancel is a CEO @Drift, Author of Conversational Marketing book,  @HarvardHBS Entrepreneur-in Residence, Tweets about Diversity, Product, ScaleUps & Mental Models."
2020-03-22,Andrew Chen,andrewchen,,https://andrewchen.co/,andrewchen,andrewchenco,andrewchen,andrewchen,https://www.goodreads.com/user/show/3543519-andrew-chen,,"Andrew Chen is an investor at Andreessen Horowitz, where he focuses on consumer products, marketplaces, and bottoms up SaaS. Previously, he led growth teams at Uber."
2020-03-22,Hiten Shah,hnshah,,https://hitenism.com/,hnshah,hiten,hiten,hnshah,https://www.goodreads.com/author/show/16469705.Hiten_Shah,,"Hiten Shah has started a dozen businesses of his own including Crazy Egg, KISSmetrics and Quick Sprout, raised money from investors and is an active investor/advisor to over 110 companies. He also helped coin the term Growth Hacker with Sean Ellis and Patrick Vlaskovits."
2020-03-22,Jeff Bezos,jeffbezos,,,jeffbezos,,jeffbezos,,,https://en.wikipedia.org/wiki/Jeff_Bezos,"Jeff Bezos is an American internet and aerospace entrepreneur, media proprietor, and investor. He is best known as the founder, chief executive officer, and president of Amazon. "
2020-03-22,John Brandon,jmbrandonbb,,,jmbrandonbb,jbrandonbb,,johnmbrandon,,,"John Brandon is a Contributing Editor and columnist at Inc Magazine, reporter for Fox News, TechRadar.com, Business.com, and others. He is also a book author. "
2020-03-22,Ramit Sethi,ramitsethi,,https://www.iwillteachyoutoberich.com/,ramit,IWT,ramit,ramitsethi,https://www.goodreads.com/author/show/773057.Ramit_Sethi,https://en.wikipedia.org/wiki/Ramit_Sethi,"Ramit Singh Sethi is an American personal finance advisor and entrepreneur. Sethi is the author of the 2009 New York Times Best Seller, ""I Will Teach You to Be Rich"" and founder of GrowthLab.com, owner of IWillTeachYouToBeRich.com, and owner and a co-founder of PBworks, a commercial wiki website."
2020-03-22,Powells,powellsbooks,,https://www.powells.com/,Powells,powellsbooks,powellsbooks,,,https://en.wikipedia.org/wiki/Powell%27s_Books,"Powell's Books is a chain of bookstores in Portland, Oregon, and its surrounding metropolitan area. "
2020-03-22,New York Times,nytimes,,https://www.nytimes.com/,nytimes,nytimes,nytimes,,,https://en.wikipedia.org/wiki/The_New_York_Times,The New York Times is an American newspaper based in New York City with worldwide influence and readership.
2020-03-22,NYPL,nypl,,https://www.nypl.org/,nypl,nypl,nypl,,,https://en.wikipedia.org/wiki/New_York_Public_Library,The New York Public Library (NYPL) is a public library system in New York City.
2020-09-13,Drift,drift,,https://www.drift.com/,drift,heydrift,drift,drift,,,"Drift helps companies engage in real-time, personalized conversations with the right customers at the right time, so they can build trust & accelerate revenue"
2020-09-13,NPR,npr,,https://www.npr.org/,NPR,NPR,NPR,NPR,,https://en.wikipedia.org/wiki/NPR,"National Public Radio (NPR) is an American privately and publicly funded non-profit media organization based in Washington, D.C. "
