,Source,Title,Author,Keywords,Published Date,Heading,Subheading,ISBN,Amazon URL
powellsbooks,https://www.powells.com/post/lists/best-fiction-of-2019,Best Fiction of 2019 ,Powell's Staff,fiction,2019-12-05,,,,
,,,,,,,,9780385537070,
,,,,,,,,9781640092686,
,,,,,,,,9781982113162,
,,,,,,,,9780393083569,
,,,,,,,,9781632869845,
,,,,,,,,9780525541844,
,,,,,,,,9780525563501,
,,,,,,,,9780525562023,
,,,,,,,,9780811228855,
,,,,,,,,9781250238115,
,,,,,,,,9780525534204,
,,,,,,,,9781982104528,
,,,,,,,,9780802156983,
,,,,,,,,9780374277789,
,,,,,,,,9780802129628,
,,,,,,,,9780812984668,
,,,,,,,,9780374719180,
,,,,,,,,9780525541332,
,,,,,,,,9780385541213,
,,,,,,,,9781555978402,
